(0)number, (1)prod_id,(2)prod_name,(3)prod_descr,(4)source,(5)img_path,(6)my_img_path,(7)price,(8)in_stock, (9)needed_stock, (10)location
1,am-2992,Hall Effect Encoder Cable with 4-pin Connector,This is the cable designed for the encoder that is pre-attached to the NeveRest Series of motors and gearmotors. It has a connector to directly interface between the NeveRest encoder and the HiTech...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/hall-effect-encoder-cable-with-4-pin-connector/5bd3529d61a10d293f964593/large_thumb.jpg?c=1540575901,AndyMark/am-2992.jpg,5.0,0.0,0.0,null
2,am-3000,NI roboRIO,NOTE: This product is not included in any Sales or Discounts. Customers who are not affiliated with FIRST teams are required to purchase this product through National Instruments (http://sine.ni.co...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/ni-roborio/5bd3537e61a10d293f9645c3/large_thumb.jpg?c=1540576126,AndyMark/am-3000.jpg,435.0,0.0,0.0,null
3,am-2854,Talon SRX Speed Controller,The Talon SRX is the latest smart speed controller of the Talon platform from Cross the Road Electronics. The Talon SRX adds support for CAN :  additional communication protocols :  and integrated PID...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/talon-srx-speed-controller/5bd3423961a10d292c9646a6/large_thumb.jpg?c=1540571705,AndyMark/am-2854.jpg,90.0,0.0,0.0,null
4,am-2964a,NeveRest Classic 40 Gearmotor,The NeveRest 40 is a gearmotor with an attached encoder. The output shaft geometry and the gearbox housing diameter is similar to what FTC teams are familiar with. The shaft is 6mm dia and the ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-classic-40-gearmotor/5bd350f061a10d293f96453e/large_thumb.jpg?c=1540575472,AndyMark/am-2964a.jpg,28.0,0.0,0.0,null
5,am-2857,Voltage Regulator Module,NOTE: This product is not included in any Sales or Discounts. This is for the Voltage Regulator Module being used in the 2015 FIRST Robotics Competition Kit of Parts. For an overview of the 2015 Co...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/voltage-regulator-module/5bd3428561a10d292c9646c5/large_thumb.jpg?c=1540571781,AndyMark/am-2857.jpg,46.0,0.0,0.0,null
6,am-3062,Set of 2 Batteries: Interstate Batteries,The SLA1116 is a 12 Volt :  18 amp-hour sealed lead acid battery with nut and bolt connector. The batteries will be packed within a 7"x7"x7" box (aka: interior box). A layer packing material surround...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/set-of-2-batteries-interstate-batteries/5bd3593161a10d293f9646bc/large_thumb.jpg?c=1540577585,AndyMark/am-3062.jpg,96.0,0.0,0.0,null
7,am-2768,Great Red Tacky Grease :  14.2 gram,Here is a packet of red tacky grease used to lubricate gearboxes. This grease sticks well to gears and does not sling off as the gears spin. Although it looks like raspberry jam :  don't put it on yo...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/great-red-tacky-grease-14-2-gram/5bd331f761a10d292c9643f2/large_thumb.jpg?c=1540567543,AndyMark/am-2768.jpg,0.75,0.0,0.0,null
8,am-0255,2.5 in. CIM Motor,2.5 in. CIM :  Brushed DC Motor Motor has the following information laser etched on the case:Logo: AndyMark LogoVoltage and Name: 12VDC 2.5" CIM MOTOR CCL part number: PM25R-45F-1003Manufacturing da...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/2-5-in-cim-motor/am_0255/5bd3e2f261a10d27d243321b/large_thumb.jpg?c=1540612850,AndyMark/am-0255.jpg,31.75,0.0,0.0,null
9,am-2986,1/2 in. Hex Bore :  Flanged :  Heavy Duty Inner Rac...,This is a Heavy Duty Hex Bearing which outperforms our previous 1/2" Hex Bearings as it has a Heavy Duty Inner Race. This FR8ZZ-HexHD bearing :  1/2" hex bore :  flanged :  heavy duty inner race :  shiel...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-2-in-hex-bore-flanged-heavy-duty-inner-race-shielded-ball-bearing-fr8zz-hexhd/5bd3522d61a10d293f96457b/large_thumb.jpg?c=1540575789,AndyMark/am-2986.jpg,6.0,0.0,0.0,null
10,am-3637,NeveRest Orbital 20 Gearmotor,The NeveRest Orbital 20 is a gearmotor with an attached encoder. The output shaft geometry and the gearbox housing diameter is similar to what FIRST Tech Challenge teams are familiar with :  and it s...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-orbital-20-gearmotor/5bd8a3ab61a10d5935a53610/large_thumb.jpg?c=1540924331,AndyMark/am-3637.jpg,32.0,0.0,0.0,null
11,am-2856,Power Distribution Panel,NOTE: This product is not included in any Sales or Discounts.This is the PD panel being used in the 2015 FIRST Robotics Competition Kit of Parts. The Power Distribution Panel (PDP) from Cross the R...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/power-distribution-panel/5bd3426161a10d292c9646b8/large_thumb.jpg?c=1540571745,AndyMark/am-2856.jpg,205.0,0.0,0.0,null
12,am-3205,Open-Mesh OM5P-AC Dual Band 1.17 Gbps Access Point,Note: Setup directions for this radio can be found here :  http://wpilib.screenstepslive.com/s/4485/m/13503/l/144986?data-resolve-url=true&amp;data-manual-id=13503.To see the FRC team price :  add this...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/open-mesh-om5p-ac-dual-band-1-17-gbps-access-point/5bd3698d61a10d2954964554/large_thumb.jpg?c=1540581773,AndyMark/am-3205.jpg,135.0,0.0,0.0,null
13,am-3103,NeveRest Classic 60 Gearmotor,The NeveRest 60 is a gearmotor with an attached encoder. The output shaft geometry and the gearbox housing diameter is similar to what FTC teams are familiar with. The shaft is 6mm dia and the ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-classic-60-gearmotor/5bd35da861a10d29549643c9/large_thumb.jpg?c=1540578728,AndyMark/am-3103.jpg,28.0,0.0,0.0,null
14,am-2858,Pneumatic Control Module,NOTE: This product is not included in any Sales or Discounts.This is for the Pneumatic Control Module being used in the 2015 FIRST Robotics Competition Kit of Parts. For an overview of the 2015 Con...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-control-module/5bd342c061a10d292c9646ce/large_thumb.jpg?c=1540571840,AndyMark/am-2858.jpg,90.0,0.0,0.0,null
15,am-3060b,navX MXP Robotics Navigation Sensor,navX MXP 3.0 combines a 9-axis sensor (3-axis accelerometers :  gyroscopes and magnetometers) with sophisticated data fusion :  motion processing and sensor calibration algorithms. Key specifications i...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/navx-mxp-robotics-navigation-sensor/5bd3589f61a10d293f9646ad/large_thumb.jpg?c=1540577439,AndyMark/am-3060b.jpg,99.0,0.0,0.0,null
