id,prod_id,prod_name,prod_descr,source,img_path,my_img_path,price_dbl,in_stock, needed_stock, location
1,AM-14U-25,AM14U Family Upgrade Kit :  #25 Chain Replacement (AM-14U-25),AM14U Family Upgrade Kit :  #25 Chain Replacement (AM-14U-25),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U-25,/AndyMark/am-14u-25.jpg,165.0,0.0,0.0,null
2,AM-14U-35,AM14U Family Upgrade Kit :  #35 Chain Replacement (AM-14U-35),AM14U Family Upgrade Kit :  #35 Chain Replacement (AM-14U-35),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U-35,Resources/AndyMark/am-14u-35.jpg,155.0,0.0,0.0,null
3,AM-14U3-8WD,AM14U3 Upgrade Kit 8WD with 6 in. HiGrip (AM-14U3-8WD),AM14U3 Upgrade Kit 8WD with 6 in. HiGrip (AM-14U3-8WD),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U3-8WD,Resources/AndyMark/am-14u3-8wd.jpg,326.0,0.0,0.0,null
4,AM-14U3-FRO,AM14U3 Frame Opening Kit (AM-14U3-FRO),AM14U3 Frame Opening Kit (AM-14U3-FRO),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U3-FRO,Resources/AndyMark/am-14u3-fro.jpg,38.0,0.0,0.0,null
5,AM-14U3-PN8,AM14U3 Upgrade Kit 6WD with 8 in. Pneumatic Wheels (AM-14U3-PN8),AM14U3 Upgrade Kit 6WD with 8 in. Pneumatic Wheels (AM-14U3-PN8),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U3-PN8,Resources/AndyMark/am-14u3-pn8.jpg,380.0,0.0,0.0,null
6,AM-14U3-PN8_NOBELT,AM14U3 Upgrade Kit for 6WD 8 in. Pneumatic Wheels :  no wheels or belts (AM-14U3-PN8_nobelt),AM14U3 Upgrade Kit for 6WD 8 in. Pneumatic Wheels :  no wheels or belts (AM-14U3-PN8_nobelt),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U3-PN8_nobelt,Resources/AndyMark/am-14u3-pn8_nobelt.jpg,119.0,0.0,0.0,null
7,AM-14U3-PN8_NOWHEELS,AM14U3 Upgrade Kit for 6WD 8 in. Pneumatic Wheels :  no wheels (AM-14U3-PN8_nowheels),AM14U3 Upgrade Kit for 6WD 8 in. Pneumatic Wheels :  no wheels (AM-14U3-PN8_nowheels),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-14U3-PN8_nowheels,Resources/AndyMark/am-14u3-pn8_nowheels.jpg,215.0,0.0,0.0,null
8,AM-2239WCR,2013 FRC Drive Chassis complete Drive Kit (am-2239wCR) - With Curriculum,2013 FRC Drive Chassis complete Drive Kit (am-2239wCR) - With Curriculum,www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-2239WCR,Resources/AndyMark/am-2239wcr.jpg,655.0,0.0,0.0,null
9,AM-2324,Polycarbonate :  0.118 thick :  24 in.x24 in. :  gray smoked tint (am-2324),Polycarbonate :  0.118 thick :  24 in.x24 in. :  gray smoked tint (am-2324),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-2324,Resources/AndyMark/am-2324.jpg,22.0,0.0,0.0,null
10,AM-2325,Polycarbonate :  0.06 thick :  24 in.x24 in. :  gray smoked tint (am-2325),Polycarbonate :  0.06 thick :  24 in.x24 in. :  gray smoked tint (am-2325),www.andymark.com,http://www.andymark.com/ProductDetails.asp?ProductCode=AM-2325,Resources/AndyMark/am-2325.jpg,22.0,0.0,0.0,null
